,timestamp,open,high,low,close,volume,datetime,date
307,1675900800000,27453.400390625,27635.380859375,27424.689453125,27584.349609375,61700000,2023-02-09 00:00:00,2023-02-09
306,1675814400000,27690.740234375,27719.44921875,27458.529296875,27606.4609375,69000000,2023-02-08 00:00:00,2023-02-08
305,1675728000000,27744.900390625,27814.9609375,27662.109375,27685.470703125,74300000,2023-02-07 00:00:00,2023-02-07
304,1675641600000,27764.66015625,27821.220703125,27656.470703125,27693.650390625,88400000,2023-02-06 00:00:00,2023-02-06
303,1675382400000,27455.029296875,27612.5703125,27445.689453125,27509.4609375,92800000,2023-02-03 00:00:00,2023-02-03
302,1675296000000,27453.669921875,27472.439453125,27338.4296875,27402.05078125,73200000,2023-02-02 00:00:00,2023-02-02
301,1675209600000,27483.41015625,27547.669921875,27322.7890625,27346.880859375,65800000,2023-02-01 00:00:00,2023-02-01
300,1675123200000,27458.560546875,27494.169921875,27302.220703125,27327.109375,74600000,2023-01-31 00:00:00,2023-01-31
299,1675036800000,27384.76953125,27486.419921875,27337.25,27433.400390625,65800000,2023-01-30 00:00:00,2023-01-30
298,1674777600000,27428.41015625,27452.669921875,27326.91015625,27382.560546875,71500000,2023-01-27 00:00:00,2023-01-27
297,1674691200000,27444.640625,27502.150390625,27284.080078125,27362.75,63300000,2023-01-26 00:00:00,2023-01-26
296,1674604800000,27175.880859375,27473.900390625,27175.880859375,27395.009765625,63400000,2023-01-25 00:00:00,2023-01-25
295,1674518400000,27150.4296875,27381.0,27150.4296875,27299.189453125,70800000,2023-01-24 00:00:00,2023-01-24
294,1674432000000,26880.2109375,26938.279296875,26788.759765625,26906.0390625,60200000,2023-01-23 00:00:00,2023-01-23
293,1674172800000,26346.689453125,26553.529296875,26320.9609375,26553.529296875,60400000,2023-01-20 00:00:00,2023-01-20
292,1674086400000,26541.080078125,26592.869140625,26368.970703125,26405.23046875,68700000,2023-01-19 00:00:00,2023-01-19
291,1674000000000,26251.33984375,26816.6796875,26211.83984375,26791.119140625,93400000,2023-01-18 00:00:00,2023-01-18
290,1673913600000,25915.509765625,26198.689453125,25895.30078125,26138.6796875,68100000,2023-01-17 00:00:00,2023-01-17
289,1673827200000,25836.669921875,25938.0390625,25748.099609375,25822.3203125,71700000,2023-01-16 00:00:00,2023-01-16
288,1673568000000,26391.779296875,26409.2109375,26090.83984375,26119.51953125,98300000,2023-01-13 00:00:00,2023-01-13
